timestamp,ask_price,ask_size,bid_price,bid_size,mid
2022-09-21 22:26:00.003684,1231.3,5.086,1230.5,10.752,1230.9
2022-09-21 22:27:00.002030,1230.7,2.464,1230.4,32.5,1230.55
2022-09-21 22:28:00.001998,1232.6,36.854,1232.1,4.748,1232.35
2022-09-21 22:29:00.001981,1231.1,61.171,1230.6,0.178,1230.85
2022-09-21 22:30:00.005877,1233.1,3.565,1232.7,4.723,1232.9
2022-09-21 22:31:00.024240,1234.7,0.017,1234.4,0.214,1234.55
2022-09-21 22:32:00.007879,1235.5,34.617,1234.7,58.074,1235.1
2022-09-21 22:33:00.007430,1233.3,0.671,1233.1,33.5,1233.2
2022-09-21 22:34:00.007416,1232.4,1.145,1231.8,4.744,1232.1
2022-09-21 22:35:00.007424,1234.1,25.132,1233.7,62.633,1233.9
2022-09-21 22:36:00.007409,1236.7,10.0,1236.4,4.738,1236.55
2022-09-21 22:37:00.007453,1235.3,0.255,1234.8,0.003,1235.05
2022-09-21 22:38:00.007416,1236.4,61.968,1236.0,0.078,1236.2
2022-09-21 22:39:00.007418,1235.5,0.606,1235.2,9.8,1235.35
2022-09-21 22:40:00.007448,1234.7,0.596,1234.5,0.081,1234.6
2022-09-21 22:41:00.007429,1232.9,0.018,1232.7,51.437,1232.8
2022-09-21 22:42:00.007423,1234.0,1.0,1233.5,13.157,1233.75
2022-09-21 22:43:00.002414,1235.1,53.285,1234.5,37.0,1234.8
2022-09-21 22:44:00.002415,1237.4,0.434,1237.0,33.0,1237.2
2022-09-21 22:45:00.002410,1234.5,7.803,1234.3,0.083,1234.4
2022-09-21 22:46:00.002409,1236.2,14.459,1235.5,54.847,1235.85
2022-09-21 22:47:00.002430,1236.2,1.798,1235.8,29.35,1236.0
2022-09-21 22:48:00.002426,1237.2,3.0,1236.9,33.5,1237.05
2022-09-21 22:49:00.002407,1236.7,34.293,1236.1,72.78,1236.4
2022-09-21 22:50:00.002429,1236.2,1.131,1236.0,1.004,1236.1
2022-09-21 22:51:00.002412,1235.0,6.439,1234.6,73.011,1234.8
2022-09-21 22:52:00.002432,1237.1,56.063,1236.6,4.751,1236.85
2022-09-21 22:53:00.002408,1236.1,1.661,1235.5,24.9,1235.8
2022-09-21 22:54:00.006096,1238.2,1.623,1238.0,6.883,1238.1
2022-09-21 22:55:00.009795,1238.7,1.138,1238.1,34.626,1238.4
2022-09-21 22:56:00.007557,1239.3,54.79,1238.7,0.309,1239.0
2022-09-21 22:57:00.007517,1242.3,0.974,1241.3,6.4,1241.8
2022-09-21 22:58:00.007510,1243.5,26.5,1243.1,6.4,1243.3
2022-09-21 22:59:00.007504,1244.1,60.172,1244.0,13.114,1244.05
2022-09-21 23:00:00.007517,1244.1,1.589,1243.8,37.0,1243.95
2022-09-21 23:01:00.007508,1243.1,4.689,1242.6,6.4,1242.85
2022-09-21 23:02:00.007502,1242.2,0.348,1242.1,0.004,1242.15
2022-09-21 23:03:00.007512,1241.4,0.13,1241.2,0.001,1241.3
2022-09-21 23:04:00.007531,1242.9,51.412,1242.6,39.0,1242.75
2022-09-21 23:05:00.007524,1243.5,0.113,1243.0,0.337,1243.25
2022-09-21 23:06:00.007526,1243.7,39.145,1243.3,96.356,1243.5
2022-09-21 23:07:00.007509,1246.0,40.133,1245.7,39.0,1245.85
2022-09-21 23:08:00.007504,1246.6,0.164,1246.3,44.219,1246.45
2022-09-21 23:09:00.007506,1246.6,11.703,1246.5,47.056,1246.55
2022-09-21 23:10:00.007506,1246.1,9.978,1245.3,14.161,1245.7
2022-09-21 23:11:00.007502,1241.4,69.998,1241.0,24.0,1241.2
2022-09-21 23:12:00.007503,1241.4,0.114,1241.3,4.614,1241.35
2022-09-21 23:13:00.007506,1242.6,0.185,1242.3,6.68,1242.45
2022-09-21 23:14:00.007559,1241.4,39.368,1241.2,40.554,1241.3
2022-09-21 23:15:00.007530,1240.9,0.148,1240.6,4.639,1240.75
2022-09-21 23:15:59.991986,1241.9,0.143,1241.8,4.661,1241.85
2022-09-21 23:17:00.003041,1243.1,34.622,1243.0,11.697,1243.05
2022-09-21 23:18:00.007129,1242.1,0.144,1241.8,16.386,1241.95
2022-09-21 23:19:00.007213,1242.9,0.104,1242.6,15.752,1242.75
2022-09-21 23:20:00.007208,1243.3,0.113,1243.2,4.05,1243.25
2022-09-21 23:21:00.007199,1247.6,4.05,1247.5,4.663,1247.55
2022-09-21 23:22:00.007217,1246.4,4.203,1246.1,4.665,1246.25
2022-09-21 23:23:00.007189,1247.7,4.214,1247.5,8.638,1247.6
2022-09-21 23:24:00.007204,1249.7,26.117,1249.5,4.068,1249.6
2022-09-21 23:25:00.007196,1248.2,43.338,1248.0,4.05,1248.1
2022-09-21 23:26:00.007184,1246.8,5.393,1246.4,4.05,1246.6
2022-09-21 23:27:00.007209,1247.4,0.116,1247.2,10.05,1247.3
2022-09-21 23:28:00.007172,1249.3,6.713,1248.8,4.608,1249.05
2022-09-21 23:29:00.007186,1249.7,6.94,1249.4,61.44,1249.55
2022-09-21 23:30:00.007201,1249.3,4.05,1249.1,0.001,1249.2
2022-09-21 23:31:00.007197,1248.5,4.05,1248.1,48.81,1248.3
2022-09-21 23:32:00.007196,1247.2,6.97,1247.1,0.017,1247.15
2022-09-21 23:33:00.007219,1248.1,0.166,1248.0,4.16,1248.05
2022-09-21 23:34:00.007217,1249.3,0.107,1249.0,4.05,1249.15
2022-09-21 23:35:00.007208,1249.2,10.45,1248.7,4.071,1248.95
2022-09-21 23:36:00.007200,1248.2,0.142,1248.1,8.734,1248.15
2022-09-21 23:37:00.007203,1250.8,0.139,1250.7,4.051,1250.75
2022-09-21 23:38:00.007209,1251.7,34.739,1251.6,4.05,1251.65
2022-09-21 23:39:00.017613,1251.6,61.937,1251.2,13.791,1251.4
2022-09-21 23:40:00.009263,1251.1,0.156,1251.0,8.758,1251.05
2022-09-21 23:41:00.007438,1249.0,4.05,1248.7,5.499,1248.85
2022-09-21 23:42:00.007409,1250.1,0.188,1250.0,66.996,1250.05
2022-09-21 23:43:00.007370,1250.9,4.232,1250.8,63.399,1250.85
2022-09-21 23:44:00.007385,1251.0,42.731,1250.9,86.476,1250.95
2022-09-21 23:45:00.007389,1251.7,4.05,1251.5,49.62,1251.6
2022-09-21 23:46:00.007408,1250.2,9.55,1250.1,8.633,1250.15
2022-09-21 23:47:00.007382,1249.4,4.05,1249.2,4.05,1249.3
2022-09-21 23:48:00.007370,1251.0,38.213,1250.9,0.016,1250.95
2022-09-21 23:49:00.007368,1251.1,4.207,1251.0,15.505,1251.05
2022-09-21 23:50:00.007391,1250.6,61.117,1250.4,23.55,1250.5
2022-09-21 23:51:00.007377,1250.0,4.05,1249.7,6.107,1249.85
2022-09-21 23:52:00.007380,1250.9,5.771,1250.8,37.526,1250.85
2022-09-21 23:53:00.001305,1251.0,0.138,1250.9,15.09,1250.95
2022-09-21 23:54:00.007393,1249.6,0.123,1249.5,46.629,1249.55
2022-09-21 23:55:00.007372,1251.4,4.05,1250.7,10.96,1251.05
2022-09-21 23:56:00.007375,1253.8,0.75,1253.7,55.965,1253.75
2022-09-21 23:57:00.007395,1254.8,4.206,1254.5,0.066,1254.65
2022-09-21 23:58:00.007384,1252.3,4.05,1252.0,67.366,1252.15
2022-09-21 23:59:00.007387,1250.0,0.316,1249.8,4.05,1249.9
2022-09-22 00:00:00.007471,1245.8,0.117,1245.5,0.425,1245.65
